# Abundance and Variation Measurements for Strains Grown in YEPD and SD
# Newman et al. Nature 2006
# ORF	Name	NA	Ave. YEPD	Error	Ave. SD	Error
orf	gene	avg.yepd.abund	avg.yepd.abund.error	avg.sd.abund	avg.sd.abund.error
YER016W	BIM1	66.5	21.62	63.0	22.92
YER017C	AFG3	123.5	22.28	171.1	24.19
YER018C	SPC25	92.5	21.99	NA	NA
YER019C-A	SBH2	378.0	27.74	219.7	25.42
YER020W	GPA2	164.5	23.18	168.0	24.02
YER021W	RPN3	NA	NA	NA	NA
YER022W	SRB4	130.0	22.59	112.0	23.69
YER023W	PRO3	612.5	33.91	563.5	36.88
YER024W	YAT2	NA	NA	80.5	23.09
YER025W	GCD11	NA	NA	NA	NA
YER027C	GAL83	159.5	23.10	143.0	24.61
YER028C	MIG3	NA	NA	NA	NA
YER029C	SMB1	115.0	22.34	58.5	21.86
YER030W	NA	200.0	23.85	158.3	23.77
YER031C	YPT31	467.0	29.65	290.5	27.04
YER032W	FIR1	NA	NA	NA	NA
YER033C	ZRG8	NA	NA	NA	NA
YER034W	NA	160.5	23.11	106.5	22.77
YER035W	EDC2	220.5	24.26	172.8	24.29
YER036C	NA	2589.0	97.78	1723.0	78.35
YER037W	PHM8	NA	NA	NA	NA
YER038C	KRE29	NA	NA	NA	NA
YER040W	GLN3	NA	NA	NA	NA
YER042W	MXR1	174.5	23.38	82.2	22.59
YER043C	SAH1	5778.5	206.78	3935.0	165.01
YER044C	ERG28	58.5	21.51	NA	NA
YER047C	SAP1	NA	NA	NA	NA
YER048W-A	NA	566.5	32.64	624.4	37.39
YER049W	NA	105.0	22.20	NA	NA
YER052C	HOM3	690.5	36.15	1806.5	82.38
YER053C	PIC2	NA	NA	194.0	24.58
YER053C-A	NA	404.0	28.38	755.7	41.89
YER054C	GIP2	NA	NA	NA	NA
YER056C	FCY2	1542.5	62.44	2590.5	111.26
YER056C-A	RPL34A	3253.0	120.31	2967.5	126.85
YER059W	PCL6	56.0	21.48	95.0	23.54
YER061C	CEM1	NA	NA	82.5	23.29
YER062C	HOR2	238.5	24.62	372.5	30.81
YER063W	THO1	NA	NA	NA	NA
YER064C	NA	NA	NA	NA	NA
YER067W	NA	376.5	27.71	511.6	33.79
YER068W	MOT2	254.5	24.95	354.0	29.78
YER069W	ARG5,6	NA	NA	1006.5	51.74
YER070W	RNR1	27855.5	969.33	22099.0	876.23
YER071C	NA	NA	NA	NA	NA
YER072W	VTC1	1651.0	66.41	184.0	24.39
YER073W	ALD5	477.0	30.23	784.0	44.19
YER074W	RPS24A	2685.0	101.03	2193.5	96.97
YER075C	PTP3	NA	NA	NA	NA
YER077C	NA	NA	NA	NA	NA
YER078C	NA	NA	NA	70.0	22.81
YER079W	NA	NA	NA	58.0	22.80
YER080W	FMP29	205.0	23.94	189.5	25.42
YER081W	SER3	54.5	21.47	2307.5	102.24
YER083C	RMD7	191.0	23.68	127.0	24.31
YER084W	NA	73.0	21.72	49.5	21.76
YER086W	ILV1	261.5	24.84	523.0	34.93
YER087C-A	NA	NA	NA	NA	NA
YER088C	DOT6	200.0	23.84	93.0	23.29
YER089C	PTC2	210.5	24.05	291.5	28.63
YER090W	TRP2	592.5	33.36	953.5	49.79
YER091C	MET6	9004.5	317.79	11653.0	463.67
YER092W	IES5	102.5	22.16	60.2	21.92
YER095W	RAD51	574.5	32.85	318.5	29.27
YER098W	UBP9	NA	NA	NA	NA
YER099C	PRS2	125.0	22.31	83.5	23.31
YER100W	UBC6	50.5	21.25	NA	NA
YER101C	AST2	NA	NA	NA	NA
YER102W	RPS8B	6009.5	214.73	3715.3	153.34
YER103W	SSA4	156.5	23.05	NA	NA
YER104W	RTT105	NA	NA	NA	NA
YER105C	NUP157	184.5	23.55	118.0	23.06
YER107C	GLE2	119.5	22.42	128.0	23.17
YER110C	KAP123	2687.0	101.09	1454.5	69.40
YER111C	SWI4	NA	NA	NA	NA
YER112W	LSM4	159.0	23.10	160.4	23.84
YER113C	NA	122.0	22.26	120.7	23.04
YER114C	BOI2	147.5	22.89	131.5	24.12
YER116C	SLX8	NA	NA	NA	NA
YER117W	RPL23B	NA	NA	708.0	41.89
YER118C	SHO1	168.5	23.03	60.5	21.93
YER120W	SCS2	458.0	29.60	259.5	26.18
YER122C	GLO3	499.5	30.83	369.5	30.36
YER123W	YCK3	101.0	21.94	138.5	23.49
YER124C	DSE1	NA	NA	NA	NA
YER126C	NSA2	4564.0	165.20	3927.5	163.81
YER128W	NA	233.0	24.50	243.2	25.79
YER129W	PAK1	NA	NA	NA	NA
YER131W	RPS26B	5087.0	183.29	3150.1	133.22
YER132C	PMD1	108.0	22.24	87.0	23.64
YER133W	GLC7	1964.5	76.79	1597.0	73.94
YER134C	NA	181.0	23.50	232.9	25.59
YER136W	GDI1	738.5	37.17	634.5	38.95
YER139C	NA	NA	NA	67.5	22.99
YER140W	NA	NA	NA	NA	NA
YER141W	COX15	359.0	27.30	483.5	33.95
YER142C	MAG1	NA	NA	NA	NA
YER143W	DDI1	63.0	21.57	56.0	21.87
YER145C	FTR1	857.5	40.70	319.0	27.98
YER147C	SCC4	NA	NA	NA	NA
YER148W	SPT15	330.5	26.64	217.0	26.50
YER149C	PEA2	68.5	21.65	59.0	22.80
YER150W	SPI1	NA	NA	54.5	22.09
YER151C	UBP3	448.5	29.50	498.5	34.42
YER152C	NA	85.5	21.89	NA	NA
YER153C	PET122	NA	NA	NA	NA
YER154W	OXA1	397.0	27.90	393.0	30.02
YER155C	BEM2	211.0	24.06	186.5	26.07
YER156C	NA	219.5	24.23	193.0	25.80
YER157W	COG3	125.5	22.32	78.1	22.31
YER159C	BUR6	252.5	24.91	341.5	28.50
YER161C	SPT2	100.5	22.12	284.5	28.32
YER162C	RAD4	NA	NA	NA	NA
YER163C	NA	NA	NA	NA	NA
YER164W	CHD1	177.5	23.43	167.0	25.64
YER165W	PAB1	8073.5	285.76	5768.0	233.44
YER166W	DNF1	160.0	23.11	76.3	22.23
YER167W	BCK2	NA	NA	NA	NA
YER168C	CCA1	281.0	25.53	191.5	25.51
YER169W	RPH1	NA	NA	NA	NA
YER170W	ADK2	NA	NA	NA	NA
YER171W	RAD3	NA	NA	NA	NA
YER172C	BRR2	99.5	21.91	NA	NA
YER173W	RAD24	NA	NA	NA	NA
YER174C	GRX4	45.5	21.34	NA	NA
YER175C	TMT1	NA	NA	122.0	24.12
YER176W	ECM32	144.0	22.83	69.0	22.85
YER177W	BMH1	3942.0	143.47	3386.0	143.96
YER178W	PDA1	648.0	34.92	751.0	43.25
YER182W	FMP10	NA	NA	NA	NA
YER183C	FAU1	NA	NA	NA	NA
YFL001W	DEG1	102.5	22.15	NA	NA
YFL002C	SPB4	109.5	22.26	61.0	22.53
YFL004W	VTC2	281.5	25.25	56.0	21.87
YFL006W	NA	83.5	21.86	NA	NA
YFL007W	BLM3	74.0	21.72	NA	NA
YFL008W	SMC1	126.0	22.52	104.0	23.42
YFL010C	WWM1	NA	NA	NA	NA
YFL013C	IES1	100.0	22.11	89.0	23.20
YFL014W	HSP12	83.0	21.69	668.4	38.89
YFL016C	MDJ1	201.5	23.88	294.0	27.16
YFL017C	GNA1	NA	NA	NA	NA
YFL017W-A	SMX2	231.0	24.46	223.6	25.46
YFL018C	LPD1	757.5	38.08	775.0	43.50
YFL021W	GAT1	NA	NA	77.5	23.02
YFL023W	BUD27	97.5	22.07	NA	NA
YFL024C	EPL1	NA	NA	NA	NA
YFL025C	BST1	NA	NA	NA	NA
YFL026W	STE2	812.5	39.34	361.0	29.19
YFL027C	GYP8	NA	NA	NA	NA
YFL028C	CAF16	NA	NA	210.5	26.32
YFL029C	CAK1	NA	NA	NA	NA
YFL030W	AGX1	NA	NA	NA	NA
YFL031W	HAC1	NA	NA	NA	NA
YFL033C	RIM15	NA	NA	NA	NA
YFL034C-A	RPL22B	1744.0	69.49	2342.0	102.72
YFL034C-B	MOB2	66.0	21.61	63.5	22.88
YFL034W	NA	NA	NA	NA	NA
YFL036W	RPO41	2420.0	92.07	1307.5	62.80
YFL041W	FET5	325.0	26.21	208.0	25.03
YFL044C	YOD1	NA	NA	NA	NA
YFL045C	SEC53	NA	NA	1144.5	56.37
YFL046W	FMP32	NA	NA	NA	NA
YFL047W	RGD2	97.0	22.06	109.5	23.61
YFL048C	EMP47	421.5	28.50	198.5	24.81
YFL049W	NA	NA	NA	NA	NA
YFL062W	COS4	NA	NA	NA	NA
YFR001W	LOC1	147.5	22.88	147.2	23.57
YFR002W	NIC96	266.5	24.93	276.6	26.71
YFR004W	RPN11	1203.0	51.84	919.0	49.14
YFR005C	SAD1	NA	NA	NA	NA
YFR006W	NA	90.5	21.96	53.0	22.52
YFR008W	FAR7	NA	NA	NA	NA
YFR009W	GCN20	1274.5	54.13	725.0	41.73
YFR010W	UBP6	49.5	21.39	93.0	23.31
YFR011C	NA	215.5	24.15	219.8	25.27
YFR013W	IOC3	87.0	21.91	54.5	22.40
YFR014C	CMK1	NA	NA	NA	NA
YFR015C	GSY1	91.0	21.99	179.0	25.26
YFR016C	NA	164.0	23.18	180.5	25.26
YFR017C	NA	52.5	21.43	94.9	22.52
YFR019W	FAB1	NA	NA	NA	NA
YFR021W	ATG18	86.0	21.90	59.5	22.60
YFR024C	NA	356.0	27.22	NA	NA
YFR024C-A	LSB3	333.0	26.68	318.0	28.88
YFR025C	HIS2	NA	NA	93.5	23.52
YFR027W	ECO1	NA	NA	NA	NA
YFR028C	CDC14	91.5	21.98	54.0	22.50
YFR030W	MET10	44.5	21.33	62.8	22.18
YFR031C	SMC2	NA	NA	NA	NA
YFR031C-A	RPL2A	3738.0	136.91	2801.0	121.39
YFR032C-A	RPL29	8110.0	287.01	4986.4	203.87
YFR033C	QCR6	305.5	25.77	409.0	30.50
YFR034C	PHO4	NA	NA	NA	NA
YFR036W	CDC26	NA	NA	NA	NA
YFR037C	RSC8	369.0	27.54	224.0	26.13
YFR039C	NA	NA	NA	NA	NA
YFR040W	SAP155	180.0	23.47	194.5	25.60
YFR041C	ERJ5	158.0	23.07	124.5	24.22
YFR044C	NA	394.5	28.18	NA	NA
YFR046C	CNN1	NA	NA	NA	NA
YFR047C	BNA6	54.5	21.46	143.0	24.59
YFR048W	RMD8	142.5	22.80	129.5	23.90
YFR049W	YMR31	120.5	22.23	150.6	23.78
YFR050C	PRE4	1469.0	60.62	1018.0	52.87
YFR051C	RET2	953.5	43.63	706.5	40.05
YFR052W	RPN12	966.0	44.43	622.0	38.93
YFR053C	HXK1	111.0	22.28	NA	NA
YGL001C	ERG26	393.5	28.18	320.0	29.32
YGL004C	RPN14	51.5	21.42	49.0	22.64
YGL005C	COG7	NA	NA	NA	NA
YGL006W	PMC1	NA	NA	NA	NA
YGL008C	PMA1	6439.0	229.48	3998.6	166.53
YGL009C	LEU1	4135.0	150.42	2584.5	112.67
YGL010W	NA	54.5	21.29	NA	NA
YGL011C	SCL1	1597.5	64.66	1295.0	62.80
YGL012W	ERG4	433.5	29.13	286.0	27.20
YGL013C	PDR1	NA	NA	NA	NA
YGL014W	PUF4	226.5	24.37	221.0	26.27
YGL016W	KAP122	114.0	22.33	92.5	22.63
YGL017W	ATE1	NA	NA	NA	NA
YGL018C	JAC1	NA	NA	87.6	22.42
YGL019W	CKB1	197.5	23.80	204.5	26.11
YGL020C	MDM39	472.0	29.82	378.0	29.41
YGL021W	ALK1	NA	NA	NA	NA
YGL022W	STT3	586.0	32.83	364.3	29.12
YGL023C	PIB2	NA	NA	NA	NA
YGL025C	PGD1	NA	NA	NA	NA
YGL026C	TRP5	1118.5	49.21	1700.0	77.51
YGL028C	SCW11	127.5	22.55	NA	NA
YGL029W	CGR1	449.0	29.22	310.1	27.48
YGL031C	RPL24A	5714.5	204.58	3647.3	150.61
YGL032C	AGA2	NA	NA	NA	NA
YGL035C	MIG1	96.0	22.05	54.5	22.52
YGL036W	NA	NA	NA	NA	NA
YGL037C	PNC1	634.5	34.56	779.5	44.39
YGL038C	OCH1	152.5	22.97	88.5	22.46
YGL039W	NA	66.0	21.61	NA	NA
YGL040C	HEM2	467.0	29.97	348.0	30.27
YGL043W	DST1	226.5	24.37	151.5	23.69
YGL046W	NA	86.5	21.91	58.5	22.83
YGL047W	NA	NA	NA	85.7	22.35
YGL048C	RPT6	1121.0	49.24	645.5	39.60
YGL049C	TIF4632	480.0	30.32	494.5	34.34
YGL053W	PRM8	NA	NA	48.0	21.70
YGL054C	ERV14	1084.0	48.07	683.5	39.28
YGL055W	OLE1	498.0	30.47	343.5	28.65
YGL056C	SDS23	270.0	25.27	267.5	27.47
YGL057C	NA	NA	NA	NA	NA
YGL058W	RAD6	465.5	29.98	312.2	27.56
YGL059W	NA	NA	NA	NA	NA
YGL060W	YBP2	NA	NA	76.5	22.93
YGL061C	DUO1	100.0	22.11	116.0	24.04
YGL062W	PYC1	864.5	41.32	1161.0	57.67
YGL064C	MRH4	NA	NA	NA	NA
YGL065C	ALG2	65.5	21.60	NA	NA
YGL066W	SGF73	NA	NA	NA	NA
YGL067W	NPY1	65.0	21.60	85.0	23.34
YGL068W	MNP1	457.5	29.74	540.2	34.29
YGL070C	RPB9	480.0	29.99	448.3	31.44
YGL071W	RCS1	NA	NA	NA	NA
YGL073W	HSF1	NA	NA	NA	NA
YGL075C	MPS2	119.5	22.22	99.0	22.65
YGL076C	RPL7A	4944.0	178.90	4178.0	172.71
YGL077C	HNM1	496.5	30.45	810.0	43.32
YGL078C	DBP3	880.5	41.79	443.5	32.94
YGL079W	NA	NA	NA	NA	NA
YGL080W	FMP37	107.5	22.23	148.9	23.61
YGL082W	NA	157.0	23.05	189.0	25.72
YGL083W	SCY1	52.5	21.43	57.5	22.57
YGL084C	GUP1	200.0	23.61	97.5	22.61
YGL085W	NA	NA	NA	NA	NA
YGL086W	MAD1	NA	NA	NA	NA
YGL087C	MMS2	145.5	22.85	122.8	23.06
YGL090W	LIF1	NA	NA	NA	NA
YGL091C	NBP35	NA	NA	NA	NA
YGL092W	NUP145	290.5	25.72	259.7	26.47
YGL093W	SPC105	NA	NA	NA	NA
YGL094C	PAN2	NA	NA	NA	NA
YGL095C	VPS45	68.0	21.47	85.0	22.44
YGL097W	SRM1	552.0	32.26	374.0	30.41
YGL098W	USE1	85.5	21.72	99.0	22.58
YGL099W	LSG1	435.5	29.22	294.5	28.20
YGL101W	NA	194.5	23.74	132.5	24.40
YGL105W	ARC1	2485.5	94.28	1793.5	82.54
YGL107C	RMD9	207.5	24.01	216.0	26.09
YGL108C	NA	NA	NA	100.6	22.69
YGL110C	CUE3	97.0	22.08	93.5	23.28
YGL111W	NSA1	149.5	22.92	135.0	24.42
YGL112C	TAF6	125.5	22.52	103.5	23.45
YGL113W	SLD3	NA	NA	NA	NA
YGL115W	SNF4	256.5	25.03	235.0	26.95
YGL116W	CDC20	55.5	21.47	NA	NA
YGL119W	ABC1	68.0	21.64	84.0	23.08
YGL120C	PRP43	595.5	33.45	303.5	28.45
YGL122C	NAB2	1009.0	64.66	689.0	41.12
YGL124C	MON1	NA	NA	NA	NA
YGL125W	MET13	NA	NA	NA	NA
YGL126W	SCS3	167.0	23.23	99.5	23.71
YGL127C	SOH1	106.5	22.21	145.5	23.56
YGL128C	CWC23	NA	NA	NA	NA
YGL129C	RSM23	196.0	23.53	153.5	23.68
YGL130W	CEG1	81.0	21.83	118.0	24.13
YGL131C	SNT2	NA	NA	NA	NA
YGL133W	ITC1	70.5	21.67	NA	NA
YGL134W	PCL10	NA	NA	NA	NA
YGL135W	RPL1B	8127.0	287.14	6744.5	272.23
YGL137W	SEC27	1406.5	58.39	995.6	50.12
YGL139W	NA	61.0	21.54	59.0	22.59
YGL140C	NA	73.5	21.72	59.5	22.62
YGL141W	HUL5	NA	NA	NA	NA
YGL143C	MRF1	NA	NA	NA	NA
YGL145W	TIP20	85.5	21.71	79.8	22.30
YGL147C	RPL9A	4414.5	159.98	2385.5	102.46
YGL148W	ARO2	655.0	35.12	NA	NA
YGL150C	INO80	95.5	22.04	88.0	23.56
YGL151W	NUT1	104.0	22.17	110.5	23.69
YGL153W	PEX14	53.5	21.28	114.0	22.88
YGL155W	CDC43	NA	NA	NA	NA
YGL156W	AMS1	NA	NA	NA	NA
YGL157W	NA	215.0	24.14	293.5	28.57
YGL161C	YIP5	NA	NA	NA	NA
YGL162W	SUT1	NA	NA	NA	NA
YGL163C	RAD54	NA	NA	NA	NA
YGL164C	YRB30	73.5	21.72	67.5	22.99
YGL166W	CUP2	NA	NA	NA	NA
YGL167C	PMR1	642.0	34.74	538.3	34.85
YGL169W	SUA5	77.5	21.77	NA	NA
YGL172W	NUP49	284.0	25.58	224.5	25.34
YGL173C	KEM1	998.5	45.40	730.0	44.57
YGL174W	BUD13	49.5	21.39	NA	NA
YGL175C	SAE2	NA	NA	NA	NA
YGL178W	MPT5	122.5	22.47	80.0	23.04
YGL180W	ATG1	NA	NA	NA	NA
YGL181W	GTS1	149.0	22.91	143.5	24.66
YGL184C	STR3	NA	NA	NA	NA
YGL185C	NA	NA	NA	NA	NA
YGL186C	TPN1	NA	NA	114.0	23.01
YGL187C	COX4	367.5	27.19	568.0	35.45
YGL189C	RPS26A	8522.5	300.91	8194.0	499.23
YGL190C	CDC55	112.0	22.30	81.5	23.09
YGL194C	HOS2	108.5	22.24	59.0	22.81
YGL195W	GCN1	1122.0	49.40	763.0	45.87
YGL197W	MDS3	NA	NA	48.0	31.93
YGL200C	EMP24	1116.0	48.71	735.5	40.86
YGL201C	MCM6	204.5	23.93	167.0	24.95
YGL202W	ARO8	1135.0	49.68	2156.0	95.01
YGL203C	KEX1	321.0	26.13	279.9	26.80
YGL206C	CHC1	1657.5	66.64	1650.0	81.16
YGL207W	SPT16	919.5	42.96	597.0	37.74
YGL209W	MIG2	NA	NA	120.0	24.09
YGL210W	YPT32	206.5	23.73	163.5	23.90
YGL211W	NCS6	NA	NA	NA	NA
YGL212W	VAM7	116.5	22.17	100.5	22.98
YGL213C	SKI8	160.0	23.12	107.0	23.78
YGL216W	KIP3	112.5	22.30	79.5	23.02
YGL219C	MDM34	NA	NA	NA	NA
YGL220W	NA	97.5	21.88	68.8	22.03
YGL221C	NIF3	81.0	21.82	75.0	23.13
YGL222C	EDC1	152.0	22.96	56.9	21.92
YGL223C	COG1	97.5	22.07	78.0	23.18
YGL225W	VRG4	2103.0	81.00	1126.0	55.79
YGL226C-A	OST5	NA	NA	NA	NA
YGL226W	NA	NA	NA	NA	NA
YGL227W	VID30	NA	NA	NA	NA
YGL229C	SAP4	72.0	21.70	103.5	23.50
YGL231C	NA	175.0	23.37	72.1	22.09
YGL232W	TAN1	NA	NA	NA	NA
YGL233W	SEC15	95.5	22.04	NA	NA
YGL234W	ADE5,7	1680.0	67.35	2829.0	157.80
YGL237C	HAP2	NA	NA	NA	NA
YGL238W	CSE1	489.0	30.57	213.2	25.04
YGL240W	DOC1	NA	NA	NA	NA
YGL241W	KAP114	NA	NA	NA	NA
YGL244W	RTF1	286.0	25.63	256.0	27.11
YGL245W	GUS1	2527.0	95.73	1950.5	87.27
YGL246C	RAI1	114.5	22.34	124.5	24.21
YGL247W	BRR6	NA	NA	72.3	22.09
YGL249W	ZIP2	NA	NA	NA	NA
YGL250W	NA	NA	NA	NA	NA
YGL252C	RTG2	245.5	24.76	269.5	27.47
YGL253W	HXK2	10709.0	377.29	6385.5	258.72
YGL254W	FZF1	NA	NA	NA	NA
YGL255W	ZRT1	NA	NA	NA	NA
YGL256W	ADH4	NA	NA	NA	NA
YGR001C	NA	496.5	30.76	498.0	34.80
YGR002C	SWC4	53.0	21.44	57.5	22.80
YGR003W	CUL3	NA	NA	NA	NA
YGR004W	PEX31	NA	NA	NA	NA
YGR007W	MUQ1	173.0	23.12	114.0	23.97
YGR008C	STF2	443.0	29.42	1057.2	52.93
YGR010W	NMA2	NA	NA	NA	NA
YGR012W	NA	61.0	21.38	61.5	22.85
YGR013W	SNU71	NA	NA	NA	NA
YGR014W	MSB2	413.0	28.60	159.5	23.86
YGR015C	NA	NA	NA	NA	NA
YGR017W	NA	124.0	22.49	157.0	24.96
YGR019W	UGA1	275.5	25.40	471.0	33.88
YGR020C	VMA7	1427.5	59.09	1432.5	66.38
YGR021W	NA	76.5	21.76	107.0	23.83
YGR024C	THG1	65.5	21.61	68.5	23.07
YGR026W	NA	780.0	38.38	657.0	38.12
YGR027C	RPS25A	6131.5	219.22	4317.2	177.04
YGR028W	MSP1	54.0	21.29	NA	NA
YGR030C	POP6	98.0	22.08	135.5	23.29
YGR031W	NA	139.0	22.74	130.5	24.32
YGR033C	FMP17	NA	NA	77.0	23.21
YGR034W	RPL26B	6585.0	234.52	4947.5	204.43
YGR036C	CAX4	136.5	22.71	253.0	27.39
YGR037C	ACB1	2208.0	84.95	1267.8	61.07
YGR038W	ORM1	153.0	22.98	135.0	24.46
YGR040W	KSS1	NA	NA	NA	NA
YGR041W	BUD9	NA	NA	NA	NA
YGR042W	NA	NA	NA	NA	NA
YGR043C	NA	NA	NA	NA	NA
YGR044C	RME1	NA	NA	NA	NA
YGR046W	NA	NA	NA	NA	NA
YGR047C	TFC4	NA	NA	NA	NA
YGR048W	UFD1	185.0	23.56	134.0	24.51
YGR049W	SCM4	NA	NA	NA	NA
YGR052W	FMP48	NA	NA	NA	NA
YGR055W	MUP1	2006.0	77.79	596.0	36.11
YGR058W	NA	NA	NA	NA	NA
YGR060W	ERG25	2578.5	97.16	1203.0	57.51
YGR061C	ADE6	2292.0	87.82	2498.0	108.55
YGR062C	COX18	NA	NA	NA	NA
YGR063C	SPT4	512.5	30.86	359.8	29.03
YGR065C	VHT1	146.0	22.86	256.5	26.66
YGR068C	NA	NA	NA	NA	NA
YGR071C	NA	NA	NA	NA	NA
YGR072W	UPF3	97.5	22.07	82.0	23.31
YGR074W	SMD1	106.0	22.20	182.5	24.44
YGR075C	PRP38	86.0	21.90	103.0	23.11
YGR076C	MRPL25	70.0	21.67	103.8	22.68
YGR078C	PAC10	270.0	25.27	242.0	25.72
YGR080W	TWF1	80.5	21.82	170.5	25.29
YGR081C	SLX9	236.5	24.57	129.5	24.26
YGR082W	TOM20	582.5	32.74	631.5	37.31
YGR083C	GCD2	562.5	32.57	370.0	30.34
YGR084C	MRP13	295.5	25.83	335.0	29.68
YGR085C	RPL11B	4547.0	164.74	3454.9	143.34
YGR086C	PIL1	1916.5	75.19	2506.5	109.30
YGR087C	PDC6	NA	NA	NA	NA
YGR088W	CTT1	NA	NA	NA	NA
YGR089W	NNF2	NA	NA	NA	NA
YGR090W	UTP22	425.0	28.91	262.5	27.29
YGR091W	PRP31	NA	NA	NA	NA
YGR092W	DBF2	160.0	23.11	129.0	24.00
YGR093W	NA	NA	NA	NA	NA
YGR094W	VAS1	2485.0	133.30	2574.0	111.80
YGR095C	RRP46	236.0	24.56	118.5	24.12
YGR096W	TPC1	NA	NA	NA	NA
YGR097W	ASK10	NA	NA	51.5	22.47
YGR098C	ESP1	NA	NA	NA	NA
YGR100W	MDR1	NA	NA	NA	NA
YGR101W	PCP1	NA	NA	NA	NA
YGR102C	NA	NA	NA	85.9	22.38
YGR103W	NOP7	519.5	31.36	332.5	29.24
YGR104C	SRB5	NA	NA	NA	NA
YGR105W	VMA21	117.5	22.39	106.5	22.78
YGR106C	NA	1078.5	47.53	916.0	47.04
YGR108W	CLB1	NA	NA	NA	NA
YGR111W	NA	64.0	21.59	53.5	22.69
YGR112W	SHY1	NA	NA	70.5	23.06
YGR116W	SPT6	488.5	30.55	460.5	33.09
YGR117C	NA	87.5	21.92	58.5	22.82
YGR118W	RPS23A	1729.0	68.96	1314.0	63.21
YGR119C	NUP57	324.5	26.20	308.0	27.57
YGR120C	COG2	60.0	21.36	77.5	22.19
YGR121C	MEP1	NA	NA	121.0	23.09
YGR122W	NA	NA	NA	NA	NA
YGR123C	PPT1	314.0	26.24	223.0	26.24
YGR124W	ASN2	2109.5	81.69	2064.0	90.91
YGR125W	NA	54.0	21.45	95.0	22.66
YGR126W	NA	NA	NA	67.0	22.99
YGR128C	UTP8	723.5	37.09	370.0	30.36
YGR129W	SYF2	NA	NA	NA	NA
YGR130C	NA	461.5	29.83	624.5	38.48
YGR132C	PHB1	51.5	21.42	64.0	22.92
YGR133W	PEX4	NA	NA	NA	NA
YGR134W	CAF130	NA	NA	NA	NA
YGR135W	PRE9	1268.0	53.94	803.5	45.21
YGR136W	LSB1	380.0	27.85	381.0	31.20
YGR138C	TPO2	160.0	22.89	200.0	24.78
YGR140W	CBF2	NA	NA	NA	NA
YGR142W	BTN2	NA	NA	NA	NA
YGR147C	NAT2	145.0	22.84	171.5	25.29
YGR148C	RPL24B	5642.0	202.14	3920.1	161.75
YGR149W	NA	NA	NA	NA	NA
YGR150C	NA	NA	NA	NA	NA
YGR151C	NA	NA	NA	51.6	21.75
YGR152C	RSR1	157.5	22.84	127.0	23.15
YGR155W	CYS4	3327.0	122.82	2649.0	113.45
YGR156W	PTI1	124.5	22.50	117.0	24.00
YGR157W	CHO2	210.0	23.81	524.1	33.93
YGR158C	MTR3	201.5	23.87	154.0	24.85
YGR159C	NSR1	3003.5	111.90	1242.0	60.58
YGR161C	RTS3	NA	NA	87.0	23.41
YGR162W	TIF4631	2253.5	86.46	1658.5	76.00
YGR163W	GTR2	89.5	21.95	82.5	23.25
YGR165W	MRPS35	126.0	22.52	178.5	25.51
YGR166W	KRE11	NA	NA	NA	NA
YGR167W	CLC1	601.0	33.24	542.5	34.51
YGR171C	MSM1	NA	NA	NA	NA
YGR173W	RBG2	824.5	40.08	736.5	42.91
YGR174C	CBP4	NA	NA	NA	NA
YGR175C	ERG1	3408.5	125.63	1540.0	71.00
YGR177C	ATF2	55.5	21.47	NA	NA
YGR178C	PBP1	276.0	25.40	313.5	28.71
YGR179C	OKP1	NA	NA	NA	NA
YGR180C	RNR4	7068.0	251.39	6925.0	281.79
YGR183C	QCR9	196.5	23.78	374.0	29.36
YGR185C	TYS1	1705.0	68.18	1474.0	69.83
YGR186W	TFG1	123.0	22.49	95.0	23.31
YGR187C	HGH1	664.5	35.40	475.5	33.62
YGR188C	BUB1	NA	NA	NA	NA
YGR189C	CRH1	163.5	23.17	NA	NA
YGR191W	HIP1	705.0	36.57	933.5	48.32
YGR192C	TDH3	61318.0	3002.14	NA	NA
YGR193C	PDX1	NA	NA	NA	NA
YGR194C	XKS1	NA	NA	89.0	23.26
YGR195W	SKI6	189.5	23.65	173.5	25.29
YGR198W	NA	NA	NA	NA	NA
YGR200C	ELP2	331.5	26.64	195.0	25.57
YGR202C	PCT1	166.0	23.22	191.0	25.77
YGR203W	NA	139.5	22.75	175.6	24.19
YGR204W	ADE3	2692.0	101.26	3535.5	147.90
YGR205W	NA	74.0	21.73	129.0	24.30
YGR206W	NA	47.0	21.20	NA	NA
YGR207C	NA	366.0	27.52	471.5	34.13
YGR208W	SER2	691.0	36.14	820.5	45.76
YGR209C	TRX2	2033.5	79.09	1462.5	66.95
YGR210C	NA	201.5	23.89	110.0	23.17
YGR211W	ZPR1	1025.5	46.24	426.5	32.06
YGR214W	RPS0A	235.5	24.33	NA	NA
YGR215W	RSM27	111.0	22.09	96.0	22.84
YGR217W	CCH1	NA	NA	NA	NA
YGR218W	CRM1	396.5	28.21	410.5	31.74
YGR219W	NA	NA	NA	NA	NA
YGR220C	MRPL9	172.5	23.36	171.0	25.32
YGR222W	PET54	NA	NA	NA	NA
YGR229C	SMI1	696.5	36.30	598.0	37.51
YGR231C	PHB2	56.5	21.48	NA	NA
YGR232W	NAS6	49.0	21.38	83.0	23.33
YGR233C	PHO81	121.5	22.45	NA	NA
YGR234W	YHB1	2329.0	89.01	314.0	40.60
YGR235C	NA	175.5	23.39	142.5	24.74
YGR237C	NA	NA	NA	NA	NA
