#An estimate of relative contributions of transcriptional and translational regulation by absolute protein expression profiling													
#Peng Lu, Christine Vogel, Rong Wang, Xin Yao, Edward M. Marcotte													
#Supplemental Dataset S1.  APEX yeast protein abundances for rich and minimal media, with comparisons to other datasets													
#													
#Other protein and mRNA datasets are from the following sources:													
#Name	Type	Reference 											
#SAGE	mRNA	Velculescu, Cell 1997											
#HDA	mRNA	Holstege, Cell 1998											
#Wang	mRNA	Wang, PNAS 2002											
#GFP-YPD	protein	Newman, Nature 2006											
#& GFP-YMD													
#Western	protein	Ghaemmaghami, Nature 2003											
#2Dgel	protein	Futcher, Mol Cell Biol 1999											
#													
#Annotation and APEX normalization terms								YPD			YMD		
#YORF	Name	NCBI gi	NCBI gi2	SGD ID	ORF status	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i (Integrated probability of peptide observations)	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX
orf	name	ncbi.gi	ncbi.gi2	sgd	orf.status	num.tryptic.peptides	o.i	n.i.ypd	p.i.ypd	apex.ypd	n.i.ymd	p.i.ymd	apex.ymd
YAL010C	MDM10	6319309	NA	S000000008	ORF|Verified	133	40.81	2	0.39	1777	NA	NA	NA
YAL011W	YAL011W	6319308	NA	S000000009	ORF|Verified	299	57.09	NA	NA	NA	1	0.37	531
YAL012W	CYS3	6319307	NA	S000000010	ORF|Verified	97	27.25	38	1	129657	62	1	186559
YAL013W	DEP1	6319306	NA	S000000011	ORF|Verified	120	28.54	NA	NA	NA	NA	NA	NA
YAL014C	UIP2	6319305	NA	S000000012	ORF|Verified	61	19.58	NA	NA	NA	NA	NA	NA
YAL015C	NTG1	6319304	NA	S000000013	ORF|Verified	145	43.09	NA	NA	NA	NA	NA	NA
YAL016W	TPD3	6319303	NA	S000000014	ORF|Verified	162	43.76	NA	NA	NA	NA	NA	NA
YAL017W	FUN31	6319302	NA	S000000015	ORF|Verified	406	116.19	NA	NA	NA	NA	NA	NA
YAL018C	YAL018C	6319301	NA	S000000016	ORF|Uncharacterized	49	13.01	NA	NA	NA	NA	NA	NA
YAL019W	FUN30	6319300	NA	S000000017	ORF|Verified	376	94.78	1	0.68	667	NA	NA	NA
YAL020C	ATS1	6319299	NA	S000000018	ORF|Verified	77	20.7	NA	NA	NA	NA	NA	NA
YAL021C	CCR4	6319298	NA	S000000019	ORF|Verified	202	56.62	1	0.28	460	NA	NA	NA
YAL022C	FUN26	6319297	NA	S000000020	ORF|Verified	90	20.54	7	0.4	12675	NA	NA	NA
YAL023C	PMT2	6319296	NA	S000000021	ORF|Verified	178	44.58	3	0.78	4880	NA	NA	NA
YAL024C	LTE1	6319295	NA	S000000022	ORF|Verified	447	138.23	NA	NA	NA	NA	NA	NA
YAL025C	MAK16	6319294	NA	S000000023	ORF|Verified	127	22.99	NA	NA	NA	NA	NA	NA
YAL026C	DRS2	6319293	NA	S000000024	ORF|Verified	360	89.38	NA	NA	NA	2	0.54	991
YAL027W	YAL027W	6319292	NA	S000000025	ORF|Uncharacterized	88	20.94	NA	NA	NA	NA	NA	NA
YAL028W	YAL028W	6319291	NA	S000000026	ORF|Verified	170	40.77	3	0.63	4310	NA	NA	NA
YAL029C	MYO4	6319290	NA	S000000027	ORF|Verified	481	127.84	3	0.71	1549	NA	NA	NA
YAL030W	SNC1	6319289	NA	S000000028	ORF|Verified	40	8.09	NA	NA	NA	NA	NA	NA
YAL031C	FUN21	6319288	NA	S000000029	ORF|Verified	269	64.67	NA	NA	NA	4	0.54	2739
YAL032C	PRP45	6319287	NA	S000000030	ORF|Verified	155	46.84	NA	NA	NA	3	0.47	2468
YAL033W	POP5	6319286	NA	S000000031	ORF|Verified	66	18.02	NA	NA	NA	NA	NA	NA
YAL034C	FUN19	6319285	NA	S000002134	ORF|Verified	176	53.18	NA	NA	NA	NA	NA	NA
YAL034C-B	YAL034C-B	6319284	NA	S000002137	ORF|Dubious	37	5.98	NA	NA	NA	NA	NA	NA
YAL034W-A	MTW1	6319283	NA	S000000032	ORF|Verified	121	29.23	NA	NA	NA	NA	NA	NA
YAL035W	FUN12	6319282	NA	S000000033	ORF|Verified	405	81.54	NA	NA	NA	NA	NA	NA
YAL036C	FUN11	6319281	NA	S000000034	ORF|Verified	124	35	3	0.33	2630	1	0.22	515
YAL037W	YAL037W	6319280	NA	S000000035	ORF|Uncharacterized	68	16	NA	NA	NA	NA	NA	NA
YAL038W	CDC19	6319279	NA	S000000036	ORF|Verified	157	52.3	516	1	917330	484	1	758812
YAL039C	CYC3	6319278	NA	S000000037	ORF|Verified	67	17.41	NA	NA	NA	NA	NA	NA
YAL040C	CLN3	6319277	NA	S000000038	ORF|Verified	138	32.67	NA	NA	NA	NA	NA	NA
YAL041W	CDC24	6319276	NA	S000000039	ORF|Verified	236	74.26	NA	NA	NA	NA	NA	NA
YAL042C-A	KRE23	6319275	NA	S000002138	ORF|Dubious	33	7.8	NA	NA	NA	NA	NA	NA
YAL042W	ERV46	6319274	NA	S000000040	ORF|Verified	98	22.95	NA	NA	NA	NA	NA	NA
YAL043C	PTA1	6319273	NA	S000000041	ORF|Verified	225	66.39	NA	NA	NA	NA	NA	NA
YAL044C	GCV3	6319272	NA	S000000042	ORF|Verified	39	12.68	NA	NA	NA	25	1	161663
YAL044W-A	YAL044W-A	12621476	NA	S000007586	ORF|Uncharacterized	42	10.46	NA	NA	NA	NA	NA	NA
YAL045C	YAL045C	6319271	NA	S000000043	ORF|Dubious	21	4.14	NA	NA	NA	NA	NA	NA
YAL046C	YAL046C	6319270	NA	S000000044	ORF|Uncharacterized	51	13.21	NA	NA	NA	NA	NA	NA
YAL047C	SPC72	6319269	NA	S000000045	ORF|Verified	203	54.81	NA	NA	NA	NA	NA	NA
YAL048C	YAL048C	6319268	NA	S000000046	ORF|Uncharacterized	194	50.73	NA	NA	NA	NA	NA	NA
YAL049C	YAL049C	6319267	NA	S000000047	ORF|Uncharacterized	66	21.41	NA	NA	NA	NA	NA	NA
YAL051W	OAF1	6319266	NA	S000000048	ORF|Verified	295	79.28	3	0.89	3131	2	0.88	1820
YAL053W	YAL053W	6319265	NA	S000000049	ORF|Uncharacterized	167	44.62	NA	NA	NA	1	0.67	1231
YAL054C	ACS1	6319264	NA	S000000050	ORF|Verified	190	54.36	NA	NA	NA	NA	NA	NA
YAL055W	PEX22	6319263	NA	S000000051	ORF|Verified	66	13.91	NA	NA	NA	NA	NA	NA
YAL056C-A	KRE20	6319261	NA	S000002139	ORF|Dubious	35	8.97	NA	NA	NA	NA	NA	NA
YAL056W	KRH1	6319262	NA	S000000052	ORF|Verified	247	68.6	NA	NA	NA	NA	NA	NA
YAL058W	CNE1	6319260	NA	S000000054	ORF|Verified	121	30.91	NA	NA	NA	NA	NA	NA
YAL059W	ECM1	6319259	NA	S000000055	ORF|Verified	114	26.56	NA	NA	NA	NA	NA	NA
YAL060W	BDH1	6319258	NA	S000000056	ORF|Verified	96	21.27	NA	NA	NA	NA	NA	NA
YAL061W	YAL061W	6319257	NA	S000000057	ORF|Uncharacterized	117	25.73	NA	NA	NA	NA	NA	NA
YAL062W	GDH3	6319256	NA	S000000058	ORF|Verified	127	37.85	NA	NA	NA	1	0.21	455
YAL063C	FLO9	6319255	NA	S000000059	ORF|Verified	60	11.84	NA	NA	NA	NA	NA	NA
YAL064C-A	YAL064C-A	7839146	NA	S000002140	ORF|Uncharacterized	11	1.81	NA	NA	NA	NA	NA	NA
YAL064W	YAL064W	6319254	NA	S000000060	ORF|Uncharacterized	36	7.9	NA	NA	NA	NA	NA	NA
YAL066W	YAL066W	6319251	NA	S000000061	ORF|Dubious	37	12.64	NA	NA	NA	NA	NA	NA
YAL067C	SEO1	6319250	NA	S000000062	ORF|Verified	156	29.7	NA	NA	NA	NA	NA	NA
YAL068C	YAL068C	6319249	NA	S000002142	ORF|Uncharacterized	15	4.97	NA	NA	NA	NA	NA	NA
YAL069W	YAL069W	6319248	NA	S000002143	ORF|Dubious	2	0.05	NA	NA	NA	NA	NA	NA
YAR002C-A	ERP1	6319319	NA	S000002129	ORF|Verified	73	15.64	NA	NA	NA	NA	NA	NA
YAR002W	NUP60	6319318	NA	S000000063	ORF|Verified	185	57.66	NA	NA	NA	1	0.23	327
YAR003W	SWD1	6319320	NA	S000000064	ORF|Verified	84	23.73	NA	NA	NA	NA	NA	NA
YAR007C	RFA1	6319321	NA	S000000065	ORF|Verified	189	58.09	NA	NA	NA	NA	NA	NA
YAR008W	SEN34	6319322	NA	S000000066	ORF|Verified	104	25.36	NA	NA	NA	1	0.71	2296
YAR009C	YAR009C	6319323	NA	S000000067	transposable_element_gene	394	94.07	NA	NA	NA	NA	NA	NA
YAR010C	YAR010C	6319324	NA	S000000068	transposable_element_gene	92	21.69	NA	NA	NA	NA	NA	NA
YAR014C	BUD14	6319325	NA	S000000069	ORF|Verified	190	51.94	NA	NA	NA	9	0.74	10514
YAR015W	ADE1	6319326	NA	S000000070	ORF|Verified	114	38.59	5	0.94	11324	8	0.97	16488
YAR018C	KIN3	6319327	NA	S000000071	ORF|Verified	152	35.43	NA	NA	NA	NA	NA	NA
YAR019C	CDC15	6319328	NA	S000000072	ORF|Verified	276	77.01	4	0.59	2849	NA	NA	NA
YAR020C	PAU7	6319329	NA	S000000073	ORF|Verified	9	3.22	NA	NA	NA	NA	NA	NA
YAR023C	YAR023C	6319330	NA	S000000074	ORF|Uncharacterized	37	8.45	NA	NA	NA	1	0.51	4949
YAR027W	UIP3	6319331	NA	S000000075	ORF|Verified	51	11.76	NA	NA	NA	NA	NA	NA
YAR028W	YAR028W	6319332	NA	S000000076	ORF|Uncharacterized	40	14.52	NA	NA	NA	NA	NA	NA
YAR029W	YAR029W	6319333	NA	S000000077	ORF|Uncharacterized	16	3.08	NA	NA	NA	NA	NA	NA
YAR030C	YAR030C	6319335	NA	S000001821	ORF|Dubious	39	5.58	NA	NA	NA	NA	NA	NA
YAR031W	PRM9	6319334	NA	S000000078	ORF|Verified	100	23.5	NA	NA	NA	NA	NA	NA
YAR033W	YAR033W	6319336	NA	S000000079	ORF|Verified	63	17.65	NA	NA	NA	NA	NA	NA
YAR035W	YAT1	6319337	NA	S000000080	ORF|Verified	195	48.46	NA	NA	NA	NA	NA	NA
YAR042W	SWH1	6319338	NA	S000000081	ORF|Verified	64	19.59	NA	NA	NA	NA	NA	NA
YAR044W	OSH1	6319339	NA	SGDID	ORF-Status	250	60.87	NA	NA	NA	NA	NA	NA
YAR047C	YAR047C	6319340	NA	S000000083	ORF|Dubious	29	6.46	NA	NA	NA	NA	NA	NA
YAR050W	FLO1	6319341	NA	S000000084	ORF|Verified	64	11.09	4	0.48	16097	1	0.43	3179
YAR053W	YAR053W	6319342	NA	S000000085	ORF|Dubious	23	5.43	NA	NA	NA	NA	NA	NA
YAR060C	YAR060C	6319343	NA	S000000086	ORF|Dubious	65	13.7	NA	NA	NA	NA	NA	NA
YAR064W	YAR064W	6319346	NA	S000000089	ORF|Uncharacterized	25	4.56	NA	NA	NA	NA	NA	NA
YAR066W	YAR066W	6319347	NA	S000002144	ORF|Uncharacterized	32	10.64	NA	NA	NA	NA	NA	NA
YAR068W	YAR068W	6319348	NA	S000000091	ORF|Uncharacterized	24	7.61	NA	NA	NA	NA	NA	NA
YAR069C	YAR069C	6319349	NA	S000000092	ORF|Dubious	9	1.82	NA	NA	NA	NA	NA	NA
YAR070C	YAR070C	6319350	NA	S000000093	ORF|Dubious	32	8.12	NA	NA	NA	NA	NA	NA
YAR071W	PHO11	6319351	NA	S000000094	ORF|Verified	116	25.21	NA	NA	NA	NA	NA	NA
YAR073W	IMD1	6319352	NA	S000000095	ORF|Verified	110	27.04	NA	NA	NA	NA	NA	NA
YAR075W	YAR075W	6319353	NA	S000002145	ORF|Uncharacterized	52	11.31	NA	NA	NA	NA	NA	NA
YBL001C	ECM15	6319472	NA	S000000097	ORF|Verified	36	5.43	NA	NA	NA	NA	NA	NA
YBL002W	HTB2	6319471	NA	S000000098	ORF|Verified	61	13.98	2	0.8	10641	11	0.99	63872
YBL003C	HTA2	6319470	NA	S000000099	ORF|Verified	59	10.77	NA	NA	NA	20	1	152267
YBL004W	UTP20	14270688	6319469	S000000100	ORF|Uncharacterized	805	215.56	8	0.43	1484	5	0.96	1826
YBL005W	PDR3	6319466	NA	S000000101	ORF|Verified	256	62.09	NA	NA	NA	5	0.7	4622
YBL005W-A	YBL005W-A	6319467	NA	S000002146	transposable_element_gene	90	20.75	NA	NA	NA	1	0.38	1502
YBL005W-B	YBL005W-B	6319468	NA	S000002147	transposable_element_gene	512	124.3	NA	NA	NA	NA	NA	NA
YBL006C	YBL006C	6319465	NA	S000000102	ORF|Verified	40	10.2	NA	NA	NA	NA	NA	NA
YBL007C	SLA1	6319464	NA	S000000103	ORF|Verified	291	64.99	NA	NA	NA	NA	NA	NA
YBL008W	HIR1	6319463	NA	S000000104	ORF|Verified	276	74.85	NA	NA	NA	NA	NA	NA
YBL009W	YBL009W	6319462	NA	S000000105	ORF|Uncharacterized	227	58.14	NA	NA	NA	NA	NA	NA
YBL010C	YBL010C	6319461	NA	S000000106	ORF|Uncharacterized	96	24.1	NA	NA	NA	NA	NA	NA
YBL011W	SCT1	6319459	NA	S000000107	ORF|Verified	251	60.69	5	0.84	6434	NA	NA	NA
YBL012C	YBL012C	6319460	NA	S000000108	ORF|Dubious	45	11.13	NA	NA	NA	NA	NA	NA
YBL013W	FMT1	6319458	NA	S000000109	ORF|Verified	134	36.66	2	0.3	1522	NA	NA	NA
YBL014C	RRN6	6319457	NA	S000000110	ORF|Verified	224	58.88	NA	NA	NA	NA	NA	NA
YBL015W	ACH1	6319456	NA	S000000111	ORF|Verified	158	45.57	NA	NA	NA	1	0.9	1619
YBL016W	FUS3	6319455	NA	S000000112	ORF|Verified	109	28.22	NA	NA	NA	1	0.44	1278
YBL017C	PEP1	6319454	NA	S000000113	ORF|Verified	429	106.99	1	0.56	487	10	0.81	6208
YBL018C	POP8	6319453	NA	S000000114	ORF|Verified	41	10.49	NA	NA	NA	NA	NA	NA
YBL019W	APN2	6319452	NA	S000000115	ORF|Verified	209	51.07	NA	NA	NA	NA	NA	NA
YBL020W	RFT1	6319451	NA	S000000116	ORF|Verified	148	37.57	NA	NA	NA	NA	NA	NA
YBL021C	HAP3	6319450	NA	S000000117	ORF|Verified	41	9.45	NA	NA	NA	NA	NA	NA
YBL022C	PIM1	6319449	NA	S000000118	ORF|Verified	424	111.92	NA	NA	NA	NA	NA	NA
YBL023C	MCM2	6319448	NA	S000000119	ORF|Verified	296	85.86	NA	NA	NA	1	0.22	210
YBL024W	NCL1	6319447	NA	S000000120	ORF|Verified	262	71.4	6	0.79	6172	4	0.82	3767
YBL025W	RRN10	6319446	NA	S000000121	ORF|Verified	46	14.97	NA	NA	NA	NA	NA	NA
YBL026W	LSM2	6319445	NA	S000000122	ORF|Verified	36	12.14	NA	NA	NA	NA	NA	NA
YBL027W	RPL19B	6319444	NA	S000000123	ORF|Verified	128	20.83	NA	NA	NA	NA	NA	NA
YBL028C	YBL028C	6319443	NA	S000000124	ORF|Uncharacterized	75	10.49	NA	NA	NA	NA	NA	NA
YBL029C-A	YBL029C-A	13129152	NA	S000007591	ORF|Uncharacterized	26	7.37	NA	NA	NA	NA	NA	NA
YBL029W	YBL029W	6319442	NA	S000000125	ORF|Uncharacterized	90	19.96	NA	NA	NA	NA	NA	NA
YBL030C	PET9	6319441	NA	S000000126	ORF|Verified	104	30.05	NA	NA	NA	NA	NA	NA
YBL031W	SHE1	6319440	NA	S000000127	ORF|Verified	123	31.94	NA	NA	NA	NA	NA	NA
YBL032W	HEK2	6319439	NA	S000000128	ORF|Verified	134	31.83	NA	NA	NA	NA	NA	NA
YBL033C	RIB1	6319438	NA	S000000129	ORF|Verified	115	37.71	NA	NA	NA	NA	NA	NA
YBL034C	STU1	6319437	NA	S000000130	ORF|Verified	466	138.57	1	0.34	228	2	0.75	888
YBL035C	POL12	6319436	NA	S000000131	ORF|Verified	197	55.5	NA	NA	NA	NA	NA	NA
YBL036C	YBL036C	6319435	NA	S000000132	ORF|Verified	91	27.23	NA	NA	NA	1	0.21	632
YBL037W	APL3	6319434	NA	S000000133	ORF|Verified	303	91.51	3	0.57	1737	1	0.21	188
YBL038W	MRPL16	6319433	NA	S000000134	ORF|Verified	117	29.89	NA	NA	NA	NA	NA	NA
YBL039C	URA7	6319432	NA	S000000135	ORF|Verified	170	43.85	1	0.75	1590	NA	NA	NA
YBL040C	ERD2	6319431	NA	S000000136	ORF|Verified	62	15.66	NA	NA	NA	NA	NA	NA
YBL041W	PRE7	6319430	NA	S000000137	ORF|Verified	72	20.78	NA	NA	NA	NA	NA	NA
YBL042C	FUI1	6319429	NA	S000000138	ORF|Verified	140	36.47	NA	NA	NA	NA	NA	NA
YBL043W	ECM13	6319428	NA	S000000139	ORF|Verified	48	10.59	NA	NA	NA	NA	NA	NA
YBL044W	YBL044W	6319427	NA	S000000140	ORF|Uncharacterized	50	8.84	NA	NA	NA	NA	NA	NA
YBL045C	COR1	6319426	NA	S000000141	ORF|Verified	123	33.95	3	0.99	8134	10	0.99	23910
YBL046W	YBL046W	6319425	NA	S000000142	ORF|Uncharacterized	129	33.98	NA	NA	NA	NA	NA	NA
YBL047C	EDE1	6319424	NA	S000000143	ORF|Verified	285	80.98	NA	NA	NA	NA	NA	NA
YBL048W	YBL048W	6319423	NA	S000000144	ORF|Dubious	19	4.42	NA	NA	NA	NA	NA	NA
YBL049W	YBL049W	6319422	NA	S000000145	ORF|Uncharacterized	56	14.53	NA	NA	NA	NA	NA	NA
YBL050W	SEC17	6319421	NA	S000000146	ORF|Verified	102	28.65	NA	NA	NA	NA	NA	NA
YBL051C	PIN4	6319420	NA	S000000147	ORF|Verified	97	21.35	NA	NA	NA	NA	NA	NA
YBL052C	SAS3	6319419	NA	S000000148	ORF|Verified	293	64.28	3	0.65	2821	NA	NA	NA
YBL053W	YBL053W	6319418	NA	S000000149	ORF|Dubious	8	1.89	NA	NA	NA	NA	NA	NA
YBL054W	YBL054W	6319417	NA	S000000150	ORF|Uncharacterized	178	52.46	NA	NA	NA	NA	NA	NA
YBL055C	YBL055C	6319416	NA	S000000151	ORF|Uncharacterized	132	37.35	NA	NA	NA	NA	NA	NA
YBL056W	PTC3	6319415	NA	S000000152	ORF|Verified	95	25.32	NA	NA	NA	NA	NA	NA
YBL057C	YBL057C	6319414	NA	S000000153	ORF|Verified	59	15.91	NA	NA	NA	NA	NA	NA
YBL058W	SHP1	6319413	NA	S000000154	ORF|Verified	124	38.79	NA	NA	NA	NA	NA	NA
YBL059C-A	YBL059C-A	6681845	NA	S000007488	ORF|Uncharacterized	57	9.54	NA	NA	NA	NA	NA	NA
YBL059W	YBL059W	6319412	NA	S000000155	ORF|Uncharacterized	70	15.78	NA	NA	NA	NA	NA	NA
YBL060W	YBL060W	6319411	NA	S000000156	ORF|Uncharacterized	210	51.93	NA	NA	NA	NA	NA	NA
YBL061C	SKT5	6319410	NA	S000000157	ORF|Verified	233	58.99	7	0.42	4634	9	0.39	4879
YBL062W	YBL062W	6319409	NA	S000000158	ORF|Dubious	20	6.17	NA	NA	NA	NA	NA	NA
YBL063W	KIP1	6319408	NA	S000000159	ORF|Verified	336	92.14	NA	NA	NA	NA	NA	NA
YBL064C	YBL064C	6319407	NA	S000000160	ORF|Verified	89	26.53	NA	NA	NA	NA	NA	NA
YBL065W	YBL065W	6319405	NA	S000000161	ORF|Dubious	34	10	NA	NA	NA	NA	NA	NA
YBL066C	SEF1	6319406	NA	S000000162	ORF|Verified	268	84.96	1	0.42	460	NA	NA	NA
YBL067C	UBP13	6319404	NA	S000000163	ORF|Verified	198	42.13	NA	NA	NA	NA	NA	NA
YBL068W	PRS4	6319403	NA	S000000164	ORF|Verified	98	26.26	NA	NA	NA	2	0.37	2311
YBL069W	AST1	14270687	NA	S000000165	ORF|Verified	134	34.55	NA	NA	NA	NA	NA	NA
YBL070C	YBL070C	6319402	NA	S000000166	ORF|Dubious	21	3.79	NA	NA	NA	NA	NA	NA
YBL071C	YBL071C	6319400	NA	S000000167	ORF|Dubious	35	8.61	NA	NA	NA	NA	NA	NA
YBL071W-A	YBL071W-A	12621477	NA	S000007587	ORF|Verified	9	2.63	NA	NA	NA	NA	NA	NA
YBL072C	RPS8A	6319399	NA	S000000168	ORF|Verified	103	16.51	70	1	394211	57	1	283086
YBL073W	YBL073W	6319397	NA	S000000169	ORF|Dubious	28	7.33	NA	NA	NA	NA	NA	NA
YBL074C	AAR2	6319398	NA	S000000170	ORF|Verified	93	26.24	NA	NA	NA	NA	NA	NA
YBL075C	SSA3	6319396	NA	S000000171	ORF|Verified	213	57.08	1	0.38	619	NA	NA	NA
YBL076C	ILS1	6319395	NA	S000000172	ORF|Verified	376	106.85	28	1	24365	10	1	7674
YBL077W	YBL077W	6319394	NA	S000000173	ORF|Dubious	25	5.22	NA	NA	NA	NA	NA	NA
YBL078C	AUT7	6319393	NA	S000000174	ORF|Verified	47	10.37	NA	NA	NA	NA	NA	NA
YBL079W	NUP170	6319392	NA	S000000175	ORF|Verified	408	119.05	NA	NA	NA	NA	NA	NA
YBL080C	PET112	6319391	NA	S000000176	ORF|Verified	169	44.84	NA	NA	NA	NA	NA	NA
YBL081W	YBL081W	6319390	NA	S000000177	ORF|Uncharacterized	33	10.13	NA	NA	NA	NA	NA	NA
YBL082C	RHK1	6319389	NA	S000000178	ORF|Verified	91	23.23	NA	NA	NA	NA	NA	NA
YBL083C	YBL083C	6319388	NA	S000000179	ORF|Dubious	47	11.23	NA	NA	NA	NA	NA	NA
YBL084C	CDC27	6319387	NA	S000000180	ORF|Verified	194	50.02	4	0.38	2825	1	0.35	574
YBL085W	BOI1	6319386	NA	S000000181	ORF|Verified	346	106.25	5	0.94	4113	5	0.59	2277
YBL086C	YBL086C	6319385	NA	S000000182	ORF|Uncharacterized	140	38.52	NA	NA	NA	NA	NA	NA
YBL087C	RPL23A	6319384	NA	S000000183	ORF|Verified	52	13.84	28	1	188105	40	1	236982
YBL088C	TEL1	6319383	NA	S000000184	ORF|Verified	866	227.84	11	0.99	4444	NA	NA	NA
YBL089W	YBL089W	6319382	NA	S000000185	ORF|Verified	114	21.83	NA	NA	NA	NA	NA	NA
YBL090W	MRP21	6319381	NA	S000000186	ORF|Verified	95	20.43	NA	NA	NA	NA	NA	NA
YBL091C	MAP2	6319380	NA	S000000187	ORF|Verified	144	29.9	NA	NA	NA	NA	NA	NA
YBL091C-A	YBL091C-A	6319379	NA	S000007228	ORF|Verified	28	7.35	NA	NA	NA	NA	NA	NA
