alias	desc	ms	year	ms.desc	group	orfname	valname	log	strategy	fname	reference	strain background	genotype	growth temperature (C)	medium	density	platform/technique	group.desc	notes
dudley.3b	Dudley 2002 (3b)	dudley	2002	Dudley 2002	church	orf	glu_oligo.Slide3B	NA	custom microarray	dudley02-avg-transcriptome.txt	Aimee M. Dudley, John Aach, Martin A. Steffen, and George M. Church, "Measuring absolute expression with microarrays with a calibrated reference sample and an extended signal intensity range", PNAS 99(11): 7554–7559 (2002).	S288C	FY4, a MATa prototroph isogenic to a GAL2+ derivative of S288C	30	YPD	1-2e7 cells/ml	custom array	Church group, Harvard	average of four glucose conventional-oligo-spiked arrays (Cy5 Glu, Cy3 universal oligo, 4 replicates: Slide3A-D); downloaded from ftp://arep.med.harvard.edu/pub/masliner/data/normalized_data/
dudley.3c	Dudley 2002 (3c)	dudley	2002	Dudley 2002	church	orf	glu_oligo.Slide3C	NA	custom microarray	dudley02-avg-transcriptome.txt	Aimee M. Dudley, John Aach, Martin A. Steffen, and George M. Church, "Measuring absolute expression with microarrays with a calibrated reference sample and an extended signal intensity range", PNAS 99(11): 7554–7559 (2002).	S288C	FY4, a MATa prototroph isogenic to a GAL2+ derivative of S288C	30	YPD	1-2e7 cells/ml	custom array	Church group, Harvard	average of four glucose conventional-oligo-spiked arrays (Cy5 Glu, Cy3 universal oligo, 4 replicates: Slide3A-D); downloaded from ftp://arep.med.harvard.edu/pub/masliner/data/normalized_data/
dudley.3d	Dudley 2002 (3d)	dudley	2002	Dudley 2002	church	orf	glu_oligo.Slide3D	NA	custom microarray	dudley02-avg-transcriptome.txt	Aimee M. Dudley, John Aach, Martin A. Steffen, and George M. Church, "Measuring absolute expression with microarrays with a calibrated reference sample and an extended signal intensity range", PNAS 99(11): 7554–7559 (2002).	S288C	FY4, a MATa prototroph isogenic to a GAL2+ derivative of S288C	30	YPD	1-2e7 cells/ml	custom array	Church group, Harvard	average of four glucose conventional-oligo-spiked arrays (Cy5 Glu, Cy3 universal oligo, 4 replicates: Slide3A-D); downloaded from ftp://arep.med.harvard.edu/pub/masliner/data/normalized_data/
miura.1	Miura 2008 (1)	miura	2008	Miura 2008	ito	orf	expr.ypd.1	NA	competitive PCR	miura08-transcriptome.txt	Fumihito Miura, Noriko Kawaguchi, Mikio Yoshida, Chihiro Uematsu, Keiji Kito, Yoshiyuki Sakaki and Takashi Ito, BMC Genomics 2008, 9:574doi:10.1186/1471-2164-9-574	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	inoculate at OD 0.1, grow for 6 hours	competitive PCR	Ito group, Tokyo	NA
miura.2	Miura 2008 (2)	miura	2008	Miura 2008	ito	orf	expr.ypd.2	NA	competitive PCR	miura08-transcriptome.txt	Fumihito Miura, Noriko Kawaguchi, Mikio Yoshida, Chihiro Uematsu, Keiji Kito, Yoshiyuki Sakaki and Takashi Ito, BMC Genomics 2008, 9:574doi:10.1186/1471-2164-9-574	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	inoculate at OD 0.1, grow for 6 hours	competitive PCR	Ito group, Tokyo	NA
miura.3	Miura 2008 (3)	miura	2008	Miura 2008	ito	orf	expr.ypd.3	NA	competitive PCR	miura08-transcriptome.txt	Fumihito Miura, Noriko Kawaguchi, Mikio Yoshida, Chihiro Uematsu, Keiji Kito, Yoshiyuki Sakaki and Takashi Ito, BMC Genomics 2008, 9:574doi:10.1186/1471-2164-9-574	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	inoculate at OD 0.1, grow for 6 hours	competitive PCR	Ito group, Tokyo	NA
miura.4	Miura 2008 (4)	miura	2008	Miura 2008	ito	orf	expr.ypd.4	NA	competitive PCR	miura08-transcriptome.txt	Fumihito Miura, Noriko Kawaguchi, Mikio Yoshida, Chihiro Uematsu, Keiji Kito, Yoshiyuki Sakaki and Takashi Ito, BMC Genomics 2008, 9:574doi:10.1186/1471-2164-9-574	S288C	MATa SUC2 gal2 mal mel flo1 flo8-1 hap1 ho bio1 bio6	30	YPD	inoculate at OD 0.1, grow for 6 hours	competitive PCR	Ito group, Tokyo	NA
nagalakshmi	Nagalakshmi 2008	nagalakshmi	2008	Nagalakshmi 2008	snyder	orf	transcript.level.log2	log2	RNA-Seq	nagalakshmi08-transcriptome.txt	U. Nagalakshmi, Z. Wang, K. Waern, C. Shou, D. Raha, M. Gerstein, M. Snyder.  ``The Transcriptional Landscape of the Yeast Genome Defined by RNA Sequencing, Science 320, 1344 (2008)	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YPAD	1	Illumina RNA sequencing counts	Snyder group, Yale	NA
yassour.ypd0.1	Yassour 2009 (YPD0, 1)	yassour	2009	Yassour 2009	regev	orf	YPD0.1_rpkb	NA	RNA-Seq	yassour09-transcriptome.txt	Moran Yassour, Tommy Kaplana, Hunter B. Fraser, Joshua Z. Levin, Jenna Pfiffner, Xian Adiconis, Gary Schroth, Shujun Luo, Irina Khrebtukova, Andreas Gnirke, Chad Nusbaum, Dawn-Anne Thompson, Nir Friedman, and Aviv Regev, "Ab initio construction of a eukaryotic transcriptome by massively parallel mRNA sequencing" Proc. Natl. Acad. Sci. USA 106(9):3265-3269 (2009).	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	22	YPD	~1.0	Illumina RNA sequencing counts	Regev group, MIT	ab initio transcriptome
yassour.ypd0.2	Yassour 2009 (YPD0, 2)	yassour	2009	Yassour 2009	regev	orf	YPD0.2_rpkb	NA	RNA-Seq	yassour09-transcriptome.txt	Moran Yassour, Tommy Kaplana, Hunter B. Fraser, Joshua Z. Levin, Jenna Pfiffner, Xian Adiconis, Gary Schroth, Shujun Luo, Irina Khrebtukova, Andreas Gnirke, Chad Nusbaum, Dawn-Anne Thompson, Nir Friedman, and Aviv Regev, "Ab initio construction of a eukaryotic transcriptome by massively parallel mRNA sequencing" Proc. Natl. Acad. Sci. USA 106(9):3265-3269 (2009).	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	22	YPD	~1.0	Illumina RNA sequencing counts	Regev group, MIT	ab initio transcriptome
yassour.ypd15.1	Yassour 2009 (YPD15, 1)	yassour	2009	Yassour 2009	regev	orf	YPD15.1_rpkb	NA	RNA-Seq	yassour09-transcriptome.txt	Moran Yassour, Tommy Kaplana, Hunter B. Fraser, Joshua Z. Levin, Jenna Pfiffner, Xian Adiconis, Gary Schroth, Shujun Luo, Irina Khrebtukova, Andreas Gnirke, Chad Nusbaum, Dawn-Anne Thompson, Nir Friedman, and Aviv Regev, "Ab initio construction of a eukaryotic transcriptome by massively parallel mRNA sequencing" Proc. Natl. Acad. Sci. USA 106(9):3265-3269 (2009).	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	22	YPD	~1.0	Illumina RNA sequencing counts	Regev group, MIT	ab initio transcriptome
yassour.ypd15.2	Yassour 2009 (YPD15, 2)	yassour	2009	Yassour 2009	regev	orf	YPD15.2_rpkb	NA	RNA-Seq	yassour09-transcriptome.txt	Moran Yassour, Tommy Kaplana, Hunter B. Fraser, Joshua Z. Levin, Jenna Pfiffner, Xian Adiconis, Gary Schroth, Shujun Luo, Irina Khrebtukova, Andreas Gnirke, Chad Nusbaum, Dawn-Anne Thompson, Nir Friedman, and Aviv Regev, "Ab initio construction of a eukaryotic transcriptome by massively parallel mRNA sequencing" Proc. Natl. Acad. Sci. USA 106(9):3265-3269 (2009).	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	22	YPD	~1.0	Illumina RNA sequencing counts	Regev group, MIT	ab initio transcriptome
lipson.rs07	Lipson 2009 (ch7)	lipson	2009	Lipson 2009 (RS)	helicos	orf	chan7	NA	RNA-Seq	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Helicos single-molecule RNA sequencing counts (smDGE)	Helicos Biosciences	NA
lipson.rs08	Lipson 2009 (ch8)	lipson	2009	Lipson 2009 (RS)	helicos	orf	chan8	NA	RNA-Seq	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Helicos single-molecule RNA sequencing counts (smDGE)	Helicos Biosciences	NA
lipson.rs09	Lipson 2009 (ch9)	lipson	2009	Lipson 2009 (RS)	helicos	orf	chan9	NA	RNA-Seq	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Helicos single-molecule RNA sequencing counts (smDGE)	Helicos Biosciences	NA
lipson.rs10	Lipson 2009 (ch10)	lipson	2009	Lipson 2009 (RS)	helicos	orf	chan10	NA	RNA-Seq	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Helicos single-molecule RNA sequencing counts (smDGE)	Helicos Biosciences	NA
lipson.rs11	Lipson 2009 (ch11)	lipson	2009	Lipson 2009 (RS)	helicos	orf	chan11	NA	RNA-Seq	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Helicos single-molecule RNA sequencing counts (smDGE)	Helicos Biosciences	NA
lipson.rs12	Lipson 2009 (ch12)	lipson	2009	Lipson 2009 (RS)	helicos	orf	chan12	NA	RNA-Seq	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Helicos single-molecule RNA sequencing counts (smDGE)	Helicos Biosciences	NA
lipson.ma	Lipson 2009 (microarray)	lipson	2009	Lipson 2009 (microarray)	helicos	orf	microarray	NA	commercial microarray	lipson09-transcriptome.txt	Doron Lipson, Tal Raz, Alix Kieu, Daniel R Jones, Eldar Giladi, Edward Thayer, John F Thompson, Stan Letovsky, Patrice Milos & Marie Causey, "Quantification of the yeast transcriptome by single-molecule sequencing", Nature Biotechnology 27(7):652–658 (2009).	partly S288C	DBY746 (MATalpha leu2-3112 his3?1 trp1-?289 ura3-52 GAL+)	standard conditions	standard conditions	NA	Affymetrix Yeast Genome 2.0 array	Helicos Biosciences (sample), Expression Analysis (array)	NA
ingolia.1	Ingolia 2009 (mRNA rich 1)	ingolia	2009	Ingolia 2009	weissman	orf	norm	NA	RNA-Seq	ingolia-footprinting/ingolia09-mrna-rich1.txt	Ingolia et al., Science 2009	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YEPD	OD 0.6-0.7	Illumina RNA sequencing counts	Weissman group, UCSF	mRNA rich medium replicate 1
ingolia.2	Ingolia 2009 (mRNA rich 2)	ingolia	2009	Ingolia 2009	weissman	orf	norm	NA	RNA-Seq	ingolia-footprinting/ingolia09-mrna-rich2.txt	Ingolia et al., Science 2009	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YEPD	OD 0.6-0.7	Illumina RNA sequencing counts	Weissman group, UCSF	mRNA rich medium replicate 2
ingolia.rq	Ingolia 2010 (rq)	ingolia	2010	Ingolia 2010	weissman	orf	norm	NA	RNA-Seq	ingolia-footprinting/mrna_rich_b_reliable.txt	Ingolia (unpublished)	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YEPD	OD 0.6-0.7	Illumina RNA sequencing counts	Weissman group, UCSF	requantified replicate 2
ingolia.rq.late	Ingolia 2010 (rq, late)	ingolia	2010	Ingolia 2010	weissman	orf	norm	NA	RNA-Seq	ingolia-footprinting/mrna_rich_b_late_reliable.txt	Ingolia (unpublished)	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YEPD	OD 0.6-0.7	Illumina RNA sequencing counts	Weissman group, UCSF	requantified replicate 2, favoring 3prime transcript
ingolia.ca	Ingolia 2010 (ca)	ingolia	2010	Ingolia 2010	weissman	orf	norm	NA	RNA-Seq	ingolia-footprinting/circamp_mrna_test_reliable.txt	Ingolia (unpublished)	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YEPD	OD 0.6-0.7	Illumina RNA sequencing counts	Weissman group, UCSF	circular amplification
ingolia.ca.late	Ingolia 2010 (ca, late)	ingolia	2010	Ingolia 2010	weissman	orf	norm	NA	RNA-Seq	ingolia-footprinting/circamp_mrna_test_late_reliable.txt	Ingolia (unpublished)	S288C	BY4741 (MATa leu2?0 ura3?0 met15?0 his3?1)	30	YEPD	OD 0.6-0.7	Illumina RNA sequencing counts	Weissman group, UCSF	circular amplification, quantified favoring 3prime transcript
mackay	MacKay 2004	mackay	2004	MacKay 2004	morris	orf	expr.no.pheromone	NA	custom microarray	mackay04-transcriptome.txt	 MacKay VL, Li XH, Flory MR, Turcott E, Law GL, Serikawa KA, Xu XL, Lee H, Goodlett DR, Aebersold R, Zhao LP, Morris DR, "Gene expression analyzed by high-resolution state array analysis and quantitative proteomics - Response of yeast to mating pheromone", Molecular & Cellular Proteomics 3(5):478-489 (2004)	W303	BY2125 (MATa ade2-1 his3-11,15 leu2-3,112 trp1-1 ura3-1 can1-100 ssd1-d)	25	rich medium (1% yeast extract, 2% peptone, 2% dextrose)	~1e7 cells/ml	custom array	Morris group, UW	NA
garcia	Garcia-Martinez 2004	garcia	2004	Garcia-Martinez 2004	perez-ortin	orf	mrna.t0	NA	custom microarray	garcia-martinez04-transcriptome.txt	Jose Garcia-Martinez, Agustin Aranda, and Jose E. Perez-Ortin, "Genomic Run-On Evaluates Transcription Technique Rates for All Yeast Genes and Identifies Gene Regulatory Mechanisms", Molecular Cell, Vol. 15, 303–313, July 23, 2004	S288C	BQS252 (MATa, ura3-52, GAL2; sporulation of FY1679 = MATa/MATa ura3-52/ura3-52; trp1? 63/TRP1; leu2? 1/LEU2; his3? 200/HIS3; GAL2/GAL2)	28	YPD (1% yeast extract, 2% peptone, 2% glucose)	OD 0.5	custom array	Perez-Ortin group, U. Valencia, Spain	NA
pelechano	Pelechano & Ortin, 2010	pelechano	2010	Pelechano & Ortin, 2010	perez-ortin	orf	ra.1	NA	custom microarray	pelechano10-transcriptome.txt	Vicent Pelechano and Jose E. Perez-Ortin, "There is a steady-state transcriptome in exponentially growing yeast cells", Yeast 2010; 27: 413–422	S288C	BQS252 (MATa, ura3-52, GAL2; sporulation of FY1679 = MATa/MATa ura3-52/ura3-52; trp1? 63/TRP1; leu2? 1/LEU2; his3? 200/HIS3; GAL2/GAL2)	28	YPD (1% yeast extract, 2% peptone, 2% glucose)	OD600 = 0.36 (8e6 cells/ml),	custom array	Perez-Ortin group, U. Valencia, Spain	NA
