# Column descriptions
column.name	description
prot.ghaem	Ghaemmaghami et al. 2003 (anti-TAP-tag western)
prot.newman	Newman et al. 2006 (GFP signal quantified by flow cytometry)
prot.lu	Lu et al. 2007 (APEX protein-level estimates)
prot.degodoy	de Godoy et al. 2008a (LC MS/MS MaxQuant intensity values)
prot.thakur.1	Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 1)
prot.thakur.2	Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 2)
prot.thakur.3	Thakur et al. 2011 (LC MS/MS MaxQuant intensity values, replicate 3)
prot.lee.1	Lee et al. 2011 (TMT intensity values, replicate 1)
prot.lee.2	Lee et al. 2011 (TMT intensity values, replicate 2)
prot.lee.3	Lee et al. 2011 (TMT intensity values, replicate 3)
prot.nagaraj.1	Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 1)
prot.nagaraj.2	Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 2)
prot.nagaraj.3	Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 3)
prot.nagaraj.4	Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 4)
prot.nagaraj.5	Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 5)
prot.nagaraj.6	Nagaraj et al. 2012 (LC MS/MS MaxQuant intensity values, replicate 6)
